ilmenite_head_grade;rego_heat
1;25020.914838605775
2;50041.52252927799
3;75062.1302199502
4;100082.73791062241
5;125103.34560129461
6;150123.95329196684
7;175144.5609826391
8;200165.1686733113
9;225185.77636398346
10;250206.38405465565
11;275226.99174532795
12;300247.59943600016
13;325268.2071266724
14;350288.8148173446
15;375309.42250801664
16;400330.03019868897
17;425350.63788936107
18;450371.24558003334
19;475391.8532707055
20;500412.4609613778
21;525433.06865205
22;550453.6763427224
23;575474.2840333944
24;600494.8917240666
25;625515.4994147388
26;650536.1071054111
27;675556.7147960833
28;700577.3224867557
29;725597.9301774275
30;750618.5378680998
31;775639.1455587724
32;800659.7532494444
33;825680.3609401165
34;850700.9686307886
35;875721.5763214608
36;900742.184012133
37;925762.7917028053
38;950783.3993934775
39;975804.0070841498
40;1000824.614774822
41;1025845.2224654943
42;1050865.8301561663
43;1075886.4378468387
44;1100907.0455375111
45;1125927.653228183
46;1150948.2609188552
47;1175968.8686095271
48;1200989.4763001997
49;1226010.0839908724
50;1251030.691681544
51;1276051.299372216
52;1301071.9070628886
53;1326092.514753561
54;1351113.1224442332
55;1376133.7301349053
56;1401154.3378255777
57;1426174.9455162494
58;1451195.5532069216
59;1476216.1608975944
60;1501236.7685882659
61;1526257.376278939
62;1551277.983969611
63;1576298.5916602828
64;1601319.1993509554
65;1626339.8070416278
66;1651360.4147322993
67;1676381.0224229721
68;1701401.6301136438
69;1726422.2378043155
70;1751442.845494988
71;1776463.4531856603
72;1801484.0608763327
73;1826504.6685670041
74;1851525.276257677
75;1876545.883948349
76;1901566.4916390213
77;1926587.099329694
78;1951607.707020366
79;1976628.314711038
80;2001648.9224017104
81;2026669.5300923826
82;2051690.1377830552
83;2076710.7454737271
84;2101731.3531643995
85;2126751.9608550714
86;2151772.568545744
87;2176793.176236416
88;2201813.7839270886
89;2226834.3916177605
90;2251854.999308433
91;2276875.606999105
92;2301896.2146897768
93;2326916.8223804496
94;2351937.4300711206
95;2376958.037761794
96;2401978.645452466
97;2426999.2531431383
98;2452019.860833811
